#    L    TT             EE             BB             TE          
   372    0.20007E+04    0.20572E+02    0.36892E-01    0.49979E+02
   373    0.19852E+04    0.20651E+02    0.37001E-01    0.48119E+02
   374    0.19700E+04    0.20728E+02    0.37110E-01    0.46250E+02
   375    0.19553E+04    0.20801E+02    0.37219E-01    0.44372E+02
   376    0.19411E+04    0.20871E+02    0.37329E-01    0.42484E+02
   377    0.19273E+04    0.20937E+02    0.37439E-01    0.40589E+02
   378    0.19139E+04    0.20999E+02    0.37549E-01    0.38686E+02
   379    0.19009E+04    0.21057E+02    0.37660E-01    0.36777E+02
   380    0.18884E+04    0.21113E+02    0.37771E-01    0.34861E+02
   381    0.18764E+04    0.21162E+02    0.37882E-01    0.32941E+02
   382    0.18647E+04    0.21210E+02    0.37994E-01    0.31018E+02
   383    0.18535E+04    0.21253E+02    0.38106E-01    0.29089E+02
   384    0.18428E+04    0.21292E+02    0.38218E-01    0.27160E+02
   385    0.18325E+04    0.21328E+02    0.38331E-01    0.25228E+02
   386    0.18226E+04    0.21360E+02    0.38445E-01    0.23295E+02
   387    0.18131E+04    0.21388E+02    0.38559E-01    0.21362E+02
   388    0.18041E+04    0.21412E+02    0.38673E-01    0.19430E+02
   389    0.17955E+04    0.21430E+02    0.38788E-01    0.17499E+02
   390    0.17874E+04    0.21447E+02    0.38904E-01    0.15572E+02
   391    0.17797E+04    0.21459E+02    0.39020E-01    0.13646E+02
   392    0.17724E+04    0.21469E+02    0.39136E-01    0.11725E+02
   393    0.17656E+04    0.21473E+02    0.39254E-01    0.98081E+01
