#    L    TT             EE             TE             PP             TP          
   302    0.39427E+04    0.98042E+01    0.12016E+03    0.15006E+07    0.11944E+04
   303    0.39087E+04    0.99882E+01    0.12035E+03    0.14945E+07    0.11845E+04
   304    0.38746E+04    0.10174E+02    0.12050E+03    0.14883E+07    0.11748E+04
   305    0.38405E+04    0.10359E+02    0.12062E+03    0.14822E+07    0.11651E+04
   306    0.38063E+04    0.10545E+02    0.12070E+03    0.14762E+07    0.11555E+04
   307    0.37722E+04    0.10732E+02    0.12074E+03    0.14701E+07    0.11459E+04
   308    0.37380E+04    0.10920E+02    0.12075E+03    0.14641E+07    0.11364E+04
   309    0.37040E+04    0.11108E+02    0.12071E+03    0.14582E+07    0.11270E+04
   310    0.36699E+04    0.11296E+02    0.12063E+03    0.14523E+07    0.11176E+04
   311    0.36359E+04    0.11486E+02    0.12052E+03    0.14464E+07    0.11083E+04
   312    0.36020E+04    0.11676E+02    0.12037E+03    0.14405E+07    0.10990E+04
   313    0.35681E+04    0.11865E+02    0.12017E+03    0.14347E+07    0.10898E+04
   314    0.35343E+04    0.12056E+02    0.11995E+03    0.14289E+07    0.10807E+04
   315    0.35005E+04    0.12246E+02    0.11967E+03    0.14232E+07    0.10717E+04
   316    0.34669E+04    0.12436E+02    0.11936E+03    0.14175E+07    0.10627E+04
   317    0.34334E+04    0.12625E+02    0.11902E+03    0.14118E+07    0.10537E+04
   318    0.33999E+04    0.12816E+02    0.11863E+03    0.14062E+07    0.10449E+04
   319    0.33666E+04    0.13006E+02    0.11821E+03    0.14006E+07    0.10361E+04
   320    0.33335E+04    0.13196E+02    0.11775E+03    0.13950E+07    0.10274E+04
